Date,Сalories (kсal),Distance (m),Height (m),Min. latitude (deg.),Min. longitude (deg.),Max. latitude (deg.),Max. longitude (deg.),Average Speed (m/s),Max. Speed (m/s),Min. Speed (m/s),Number of Steps,Average weight (kg),Max. weight (kg),Min. weight (kg),Active Minutes,Heart Beats,Duration: Rest (ms),Duration: Walking (ms),Duration: Running (ms),Duration: Calisthenics (ms),Duration: Gymnastics (ms),Duration: Pilates (ms),Duration: Sleeping (ms),Duration: Swimming (ms)
2019-09-26,431.4288299399355,,,,,,,,,,,,,,,,,,,,,,,
2019-09-27,1395.0001166054838,,,,,,,,,,,,,,,,,,,,,,,
2019-09-28,1505.7597827407747,2658.836669921875,,,,,,0.7504522207013158,2.5802886486053467,0.6066832542419434,4600,62.29999923706055,62.29999923706055,62.29999923706055,62,,18480000,3600000,,200000,,,7200000,
2019-09-29,1787.540328246192,4473.924887895584,,31.821543,35.2439387,31.8216202,35.2442028,1.1668969166144214,17.951780319213867,0.26973703503608704,8699,62.0,62.0,62.0,123,,44918785,5230153,,200000,,900000,25200000,
2019-09-30,1817.69083070755,3987.50018748641,,31.8179008,35.23155,31.8218526,35.2435614,0.7964457167778889,3.7300000190734863,0.002616558689624071,7140,64.0,64.0,64.0,102,,51663563,3986253,,860000,,960000,28800000,
2019-10-01,1647.8376338481903,387.6764030456543,,,,,,0.956698244351614,1.2343897819519043,0.6249964237213135,1043,,,,37,,50134858,510918,,317438,,1260000,25200000,
2019-10-02,1595.6399921104312,2944.8805149793625,,31.7495751,35.2090945,31.8208869,35.2447447,0.8812901807206531,12.681112289428711,0.07362141460180283,5939,,,,75,,50521385,3585815,,,,,25200000,
2019-10-03,1809.3472969830036,3844.1281881332397,,31.81887,35.2401151,31.8251354,35.248335,1.3386928592754397,1.8323702812194824,0.3341086506843567,6255,62.599998474121094,62.599998474121094,62.599998474121094,95,,55337236,3822764,,240000,,,25200000,1800000
2019-10-04,1899.603783930838,8248.76386243105,,31.7734882,35.2198329,31.8216584,35.2441673,1.0573431879488935,2.6704442501068115,0.24957166612148285,14816,62.79999923706055,62.79999923706055,62.79999923706055,171,,42067629,9997458,,,,,31260000,
2019-10-05,1566.2828519447162,1679.8275218307972,,31.7800284,35.2076671,31.7805261,35.2089662,1.309730475679357,13.861969947814941,0.47243401408195496,3116,,,,54,,47164570,2158509,,222000,900000,,33599436,
2019-10-06,1863.787424785348,8652.959441304207,,31.780505,35.2127643,31.8302258,35.2447236,0.9118361077552954,1.6103774309158325,0.2581748366355896,16132,62.5,62.5,62.5,178,,61324342,9288088,,,,,10800000,
